Date,Category,Item,SalesQuantity,Price
2023-06-20,Casual Wear,Jeans,54,164.12
2023-10-17,Accessories,Bags,62,138.29
2023-06-26,Formal Wear,Suits,76,40.64
2023-07-18,Formal Wear,Suits,32,18.2
2024-05-22,Accessories,Hats,18,129.61
2023-08-06,Casual Wear,Jeans,8,41.6
2024-03-31,Casual Wear,Hoodie,77,194.16
2023-07-04,Accessories,Bags,93,148.32
2023-10-29,Formal Wear,Suits,28,95.35
2023-08-01,Formal Wear,Dress Shirts,22,51.68
2023-11-08,Formal Wear,Trousers,19,160.98
2024-05-31,Casual Wear,Shorts,22,147.6
2024-05-14,Formal Wear,Dress Shirts,77,122.21
2023-06-16,Casual Wear,Hoodie,50,35.12
2023-06-16,Casual Wear,Jeans,67,173.32
2024-03-16,Accessories,Hat,20,125.05
2023-10-22,Casual Wear,Hoodie,79,123.96
2023-08-29,Accessories,Bags,12,101.63
2024-05-26,Casual Wear,T-Shirts,100,138.93
2023-08-18,Formal Wear,Trousers,54,80.37
2023-10-26,Casual Wear,Hoodie,30,188.3
2024-04-03,Formal Wear,Dress Shirts,45,121.92
2023-09-03,Accessories,Bags,55,35.44
2023-09-08,Formal Wear,Suits,11,63.82
2024-05-03,Accessories,Hat,33,45.91
2024-02-24,Accessories,Bags,74,109.28
2024-03-13,Accessories,Bags,49,134.36
2023-10-10,Accessories,Scarves,53,78.83
2024-01-19,Casual Wear,Hoodie,84,121.22
2024-02-18,Formal Wear,Trousers,55,117.29
2023-08-19,Accessories,Scarves,88,85.52
2024-05-22,Casual Wear,Hoodie,71,158.92
2024-01-02,Formal Wear,Suits,48,116.23
2023-07-05,Formal Wear,Dress Shirts,40,119.75
2024-03-09,Accessories,Hat,95,36.23
2024-04-16,Accessories,Bags,96,53.66
2023-10-22,Accessories,Hats,13,50.75
2023-08-07,Formal Wear,Dress Shirts,71,126.66
2024-03-09,Accessories,Bags,21,83.93
2024-02-12,Accessories,Bags,12,166.42
2024-01-17,Formal Wear,Trousers,56,26.75
2023-09-30,Formal Wear,Suits,48,25.21
2023-08-14,Casual Wear,Hoodie,52,126.65
2024-05-05,Accessories,Scarves,92,193.07
2024-05-16,Casual Wear,Jeans,82,103.93
2023-12-31,Casual Wear,Jeans,85,186.84
2023-06-30,Accessories,Scarves,25,16.39
2023-08-08,Accessories,Hats,79,42.2
2024-02-15,Casual Wear,Shorts,31,134.45
2023-08-12,Casual Wear,T-Shirts,36,158.14
2024-02-07,Formal Wear,Trousers,51,87.04
2024-03-25,Casual Wear,T-Shirts,95,143.69
2023-10-28,Casual Wear,Shorts,93,167.66
2023-09-15,Accessories,Scarves,45,193.02
2023-08-14,Formal Wear,Suits,78,192.98
2024-06-10,Formal Wear,Dress Shirts,74,10.88
2023-11-18,Casual Wear,Hoodie,65,30.23
2023-12-08,Casual Wear,Shorts,44,189.93
2023-09-08,Accessories,Scarves,69,164.5
2023-09-05,Accessories,Scarves,89,94.13
2024-03-11,Formal Wear,Trousers,62,156.29
2023-08-29,Formal Wear,Dress Shirts,88,97.54
2024-05-17,Accessories,Bags,62,32.09
2023-10-21,Casual Wear,Hoodie,82,159.84
2024-02-09,Casual Wear,Jeans,41,88.36
2024-01-06,Formal Wear,Trousers,69,11.85
2024-01-27,Formal Wear,Suits,37,27.67
2023-07-18,Accessories,Scarves,10,115.36
2024-05-06,Casual Wear,Hoodie,41,77.17
2024-02-13,Accessories,Scarves,24,189.95
2023-07-12,Accessories,Hats,64,150.05
2024-02-28,Casual Wear,Jeans,34,49.29
2024-01-28,Casual Wear,Jeans,80,77.65
2023-11-21,Casual Wear,T-Shirts,11,138.4
2023-10-27,Accessories,Hat,79,11.26
2023-12-27,Accessories,Bags,62,80.53
2023-11-14,Formal Wear,Dress Shirts,74,175.07
2024-04-10,Formal Wear,Suits,98,184.04
2023-09-05,Formal Wear,Dress Shirts,29,152.53
2023-07-28,Casual Wear,T-Shirts,68,161.86
2023-07-29,Formal Wear,Trousers,5,105.47
2024-04-07,Formal Wear,Trousers,100,43.21
2024-05-05,Casual Wear,Hoodie,41,140.95
2024-05-31,Casual Wear,Jeans,49,120.39
2024-03-21,Formal Wear,Dress Shirts,79,173.75
2023-11-20,Casual Wear,Shorts,31,61.19
2024-04-02,Accessories,Scarves,47,44.94
2023-06-15,Formal Wear,Suits,54,143.14
2023-09-13,Formal Wear,Dress Shirts,52,63.13
2023-07-30,Casual Wear,Jeans,74,140.34
2024-05-18,Casual Wear,Shorts,31,115.51
2024-04-19,Formal Wear,Suits,19,162.01
2023-12-20,Accessories,Hats,61,163.08
2023-07-08,Casual Wear,Hoodie,64,35.55
2023-12-28,Accessories,Scarves,63,67.01
2024-01-04,Accessories,Bags,51,28.81
2023-10-22,Casual Wear,T-Shirts,28,164.63
2024-01-26,Formal Wear,Trousers,13,95.47
2023-08-16,Formal Wear,Dress Shirts,47,78.46
2023-09-25,Accessories,Scarves,45,13.77
2023-08-03,Casual Wear,Shorts,87,192.99
2024-04-24,Casual Wear,Jeans,100,64.08
2023-10-22,Formal Wear,Trousers,66,102.62
2023-09-17,Accessories,Hat,11,82.4
2024-04-07,Formal Wear,Dress Shirts,81,191.75
2023-12-29,Casual Wear,Shorts,54,129.94
2024-05-28,Accessories,Hat,10,25.03
2023-09-21,Formal Wear,Suits,41,70.21
2023-07-01,Formal Wear,Trousers,35,125.02
2023-12-28,Formal Wear,Dress Shirts,57,158.39
2024-03-29,Formal Wear,Trousers,76,108.98
2024-06-10,Formal Wear,Dress Shirts,22,44.94
2023-07-21,Casual Wear,Jeans,94,54.58
2023-12-16,Formal Wear,Trousers,90,152.45
2024-02-17,Casual Wear,Jeans,51,29.57
2024-05-07,Casual Wear,Hoodie,71,20.23
2023-11-13,Formal Wear,Trousers,98,199.24
2024-04-03,Casual Wear,Shorts,80,39.5
2023-11-13,Accessories,Hat,40,53.58
2023-09-10,Accessories,Scarves,57,129.03
2023-12-19,Casual Wear,Jeans,4,16.68
2024-01-04,Formal Wear,Dress Shirts,61,98.77
2023-07-25,Accessories,Scarves,71,94.52
2024-05-06,Accessories,Hats,76,123.54
2023-11-05,Accessories,Hat,68,131.56
2024-05-23,Accessories,Scarves,45,101.51
2023-10-18,Casual Wear,T-Shirts,57,68.49
2023-08-13,Formal Wear,Dress Shirts,20,67.68
2024-06-02,Casual Wear,Jeans,45,64.48
2023-07-12,Accessories,Bags,89,185.2
2024-04-23,Formal Wear,Dress Shirts,2,155.52
2024-05-25,Formal Wear,Trousers,30,161.39
2023-06-21,Accessories,Scarves,25,88.23
2023-07-02,Accessories,Hat,51,57.48
2024-05-23,Accessories,Hat,49,51.91
2023-07-04,Casual Wear,Hoodie,81,55.52
2023-12-22,Accessories,Scarves,37,133.21
2024-02-28,Accessories,Scarves,53,45.72
2024-02-01,Casual Wear,Jeans,18,65.02
2024-04-07,Accessories,Hat,80,96.03
2023-11-15,Accessories,Hat,25,70.92
2024-05-11,Casual Wear,T-Shirts,69,14.2
2024-06-06,Casual Wear,Shorts,35,33.76
2024-05-14,Formal Wear,Trousers,2,54.23
2024-06-04,Casual Wear,T-Shirts,64,51.27
2024-04-24,Formal Wear,Dress Shirts,64,199.61
2023-08-02,Formal Wear,Trousers,5,72.75
2023-11-11,Casual Wear,T-Shirts,35,157.37
2024-01-10,Casual Wear,Hoodie,24,46.52
2023-12-10,Formal Wear,Dress Shirts,2,33.17
2024-05-28,Accessories,Hats,50,156.53
2024-01-02,Formal Wear,Suits,95,198.96
2024-06-10,Casual Wear,Hoodie,95,156.49
2024-04-28,Accessories,Hats,61,83.93
2024-01-03,Formal Wear,Dress Shirts,21,129.54
2023-11-06,Casual Wear,T-Shirts,33,101.43
2024-04-05,Formal Wear,Suits,47,178.63
2023-09-01,Accessories,Hats,15,54.83
2024-04-07,Formal Wear,Dress Shirts,2,41.8
2024-02-04,Formal Wear,Trousers,16,85.2
2024-03-30,Casual Wear,T-Shirts,6,120.4
2024-05-14,Accessories,Hat,89,123.28
2024-02-12,Formal Wear,Suits,32,39.96
2023-08-11,Casual Wear,Shorts,98,128.78
2023-08-10,Casual Wear,Shorts,83,39.24
2024-05-27,Accessories,Bags,17,102.69
2023-08-09,Formal Wear,Trousers,83,153.77
2024-04-15,Formal Wear,Trousers,25,14.06
2024-01-26,Formal Wear,Dress Shirts,93,35.6
2023-10-28,Casual Wear,Hoodie,91,93.13
2024-02-21,Formal Wear,Trousers,90,103.12
2023-09-10,Accessories,Hats,70,76.06
2023-07-20,Accessories,Hat,36,174.86
2023-12-18,Accessories,Hats,9,110.92
2023-12-22,Formal Wear,Dress Shirts,34,112.91
2024-02-16,Formal Wear,Suits,100,131.22
2023-08-21,Formal Wear,Trousers,24,177.76
2023-12-25,Accessories,Scarves,100,127.84
2024-01-15,Formal Wear,Trousers,9,135.07
2024-04-02,Accessories,Hat,25,109.57
2024-05-16,Formal Wear,Trousers,20,126.48
2023-07-16,Formal Wear,Dress Shirts,83,71.18
2023-12-02,Casual Wear,T-Shirts,6,168.69
2023-06-25,Casual Wear,Jeans,5,48.4
2023-06-18,Formal Wear,Suits,13,16.05
2023-08-29,Accessories,Hat,85,103.08
2024-01-21,Accessories,Scarves,7,79.61
2024-04-13,Accessories,Bags,2,186.74
2024-04-27,Casual Wear,Hoodie,11,98.93
2023-09-26,Accessories,Bags,47,116.02
2023-08-02,Formal Wear,Dress Shirts,91,21.08
2024-06-03,Accessories,Scarves,68,17.72
2023-10-08,Casual Wear,Shorts,10,189.47
2024-02-15,Accessories,Bags,13,147.78
2024-01-07,Accessories,Hat,25,46.69
2023-08-12,Accessories,Hats,73,128.81
2023-10-31,Casual Wear,Hoodie,96,30.05
2024-01-25,Accessories,Scarves,87,97.16
2023-12-05,Accessories,Hat,14,41.69
2023-09-15,Casual Wear,Hoodie,65,74.13
2023-12-06,Casual Wear,Hoodie,46,181.47
2024-04-24,Accessories,Scarves,48,88.35
2024-04-12,Accessories,Hat,93,71.46
2023-06-30,Casual Wear,Jeans,49,155.48
2024-04-05,Accessories,Scarves,47,192.71
2023-12-14,Formal Wear,Dress Shirts,1,148.0
2023-12-28,Formal Wear,Trousers,3,108.35
2024-04-03,Formal Wear,Suits,39,197.03
2023-09-20,Casual Wear,Shorts,3,156.59
2024-05-07,Accessories,Scarves,71,107.14
2024-01-31,Accessories,Hats,13,17.17
2023-09-08,Formal Wear,Suits,18,60.35
2024-05-16,Accessories,Hats,30,58.69
2023-12-28,Formal Wear,Suits,74,85.96
2024-03-25,Casual Wear,T-Shirts,93,71.69
2024-04-01,Formal Wear,Suits,63,166.88
2024-06-11,Accessories,Bags,77,132.03
2023-10-28,Casual Wear,Hoodie,11,158.22
2024-04-29,Formal Wear,Dress Shirts,56,89.14
2024-04-24,Casual Wear,Jeans,96,134.03
2023-06-22,Accessories,Bags,82,157.71
2024-04-02,Formal Wear,Suits,40,109.63
2024-03-30,Formal Wear,Trousers,73,38.42
2023-07-25,Accessories,Hats,20,19.6
2023-11-20,Accessories,Hat,58,153.04
2023-12-23,Accessories,Bags,29,92.07
2023-06-30,Formal Wear,Suits,17,73.87
2023-07-19,Formal Wear,Trousers,96,19.37
2024-01-07,Formal Wear,Dress Shirts,11,85.72
2024-01-15,Formal Wear,Trousers,17,154.79
2023-10-25,Formal Wear,Trousers,26,102.69
2024-03-01,Accessories,Hats,72,127.04
2023-10-11,Accessories,Hats,32,23.61
2023-09-28,Formal Wear,Dress Shirts,88,185.59
2023-10-01,Casual Wear,T-Shirts,86,88.58
2023-11-09,Formal Wear,Dress Shirts,25,70.94
2024-04-27,Accessories,Bags,99,67.92
2023-07-18,Formal Wear,Trousers,57,128.4
2023-06-28,Formal Wear,Suits,30,47.94
2023-07-22,Formal Wear,Suits,97,148.41
2023-09-04,Casual Wear,T-Shirts,95,20.36
2023-08-26,Accessories,Hats,37,12.61
2024-06-11,Accessories,Bags,40,95.51
2023-06-24,Casual Wear,Shorts,27,150.6
2023-11-14,Casual Wear,Jeans,70,109.42
2023-11-09,Formal Wear,Trousers,62,128.38
2024-01-10,Casual Wear,T-Shirts,49,120.77
2024-04-18,Accessories,Bags,33,42.36
2023-11-07,Formal Wear,Suits,90,127.41
2024-04-19,Casual Wear,Hoodie,84,189.58
2024-06-04,Casual Wear,Hoodie,85,61.55
2024-05-01,Accessories,Scarves,14,13.62
2023-12-03,Accessories,Hat,30,196.16
2023-07-13,Accessories,Bags,41,102.09
2023-09-22,Accessories,Bags,24,47.79
2024-04-01,Formal Wear,Trousers,92,14.08
2024-04-10,Casual Wear,Shorts,43,103.09
2024-03-29,Accessories,Hats,3,75.89
2023-11-16,Formal Wear,Dress Shirts,81,67.44
2024-02-27,Accessories,Scarves,8,128.9
2024-05-30,Formal Wear,Suits,72,190.33
2024-05-10,Casual Wear,Jeans,44,180.46
2024-04-09,Accessories,Hats,12,148.68
2023-09-29,Accessories,Hats,54,55.67
2023-06-16,Casual Wear,Hoodie,40,182.85
2023-10-03,Formal Wear,Dress Shirts,70,35.04
2023-07-30,Accessories,Hats,75,112.86
2023-11-10,Casual Wear,Jeans,40,140.82
2023-11-10,Accessories,Hats,56,199.18
2023-06-15,Casual Wear,Jeans,41,22.88
2023-07-02,Accessories,Bags,24,70.34
2023-11-12,Casual Wear,T-Shirts,98,70.55
2023-12-20,Formal Wear,Dress Shirts,39,94.17
2023-10-03,Accessories,Scarves,20,158.03
2023-10-19,Casual Wear,Jeans,24,14.98
2023-12-13,Accessories,Scarves,78,117.74
2023-09-18,Casual Wear,Jeans,30,140.6
2023-12-24,Formal Wear,Suits,89,158.17
2023-06-22,Casual Wear,Hoodie,92,133.42
2024-02-05,Casual Wear,Hoodie,63,100.03
2023-08-28,Casual Wear,Jeans,29,16.12
2024-03-19,Casual Wear,Shorts,53,52.29
2023-10-05,Accessories,Hats,97,48.87
2024-03-29,Casual Wear,Hoodie,79,103.09
2023-09-08,Formal Wear,Dress Shirts,32,91.24
2023-06-29,Casual Wear,Hoodie,93,69.45
2023-07-12,Accessories,Bags,67,30.77
2024-04-10,Formal Wear,Suits,32,108.55
2023-12-12,Formal Wear,Trousers,6,115.96
2023-11-01,Accessories,Bags,25,65.32
2023-08-26,Formal Wear,Dress Shirts,100,167.25
2024-05-20,Formal Wear,Suits,55,65.94
2024-02-07,Casual Wear,Jeans,60,167.68
2024-04-30,Formal Wear,Suits,93,105.12
2024-04-04,Casual Wear,Jeans,51,88.58
2023-12-27,Formal Wear,Suits,23,96.2
2024-04-03,Accessories,Hats,59,27.13
2024-03-21,Formal Wear,Trousers,84,182.36
2023-09-26,Casual Wear,T-Shirts,12,31.69
2023-08-31,Formal Wear,Trousers,47,26.21
2023-07-24,Accessories,Hat,94,160.3
2023-11-20,Accessories,Hats,49,114.57
2024-03-15,Casual Wear,Jeans,43,117.44
2024-02-07,Accessories,Hats,21,175.08
2023-08-26,Casual Wear,T-Shirts,54,68.53
2023-10-22,Accessories,Hat,37,129.03
2024-01-01,Casual Wear,Jeans,26,10.67
2024-01-26,Formal Wear,Suits,59,104.55
2023-08-20,Formal Wear,Trousers,1,125.52
2023-07-10,Formal Wear,Suits,28,121.88
2024-04-18,Formal Wear,Dress Shirts,53,93.96
2023-09-07,Accessories,Bags,32,177.61
2024-02-29,Formal Wear,Trousers,81,115.93
2023-10-07,Casual Wear,T-Shirts,24,38.17
2023-07-09,Accessories,Scarves,5,37.62
2024-03-26,Casual Wear,Shorts,43,184.87
2024-04-14,Casual Wear,T-Shirts,54,198.81
2024-03-30,Casual Wear,Shorts,79,135.58
2023-10-22,Accessories,Hats,59,152.37
2023-07-21,Formal Wear,Suits,12,156.02
2023-07-05,Formal Wear,Dress Shirts,49,165.85
2024-05-21,Formal Wear,Trousers,9,65.64
2023-11-02,Casual Wear,T-Shirts,89,173.29
2024-02-26,Formal Wear,Trousers,53,109.68
2024-05-16,Accessories,Hats,79,21.06
2023-11-08,Accessories,Bags,62,147.57
2024-01-13,Accessories,Scarves,55,125.68
2023-08-18,Formal Wear,Dress Shirts,68,119.28
2024-04-28,Accessories,Scarves,17,126.72
2024-03-12,Formal Wear,Trousers,94,130.05
2024-01-21,Formal Wear,Suits,79,54.22
2024-03-15,Formal Wear,Suits,1,32.46
2023-06-15,Formal Wear,Trousers,16,150.12
2023-09-29,Casual Wear,Hoodie,53,18.64
2024-01-28,Formal Wear,Trousers,82,50.34
2023-09-17,Accessories,Hats,89,63.51
2024-05-27,Casual Wear,Shorts,39,106.27
2023-12-03,Formal Wear,Suits,15,140.31
2023-12-13,Formal Wear,Dress Shirts,93,118.1
2024-06-10,Casual Wear,Jeans,25,72.8
2024-04-17,Formal Wear,Trousers,62,184.07
2023-09-01,Casual Wear,Jeans,62,39.52
2024-01-01,Formal Wear,Trousers,43,97.87
2024-01-20,Formal Wear,Trousers,8,168.67
2023-12-05,Formal Wear,Trousers,93,138.86
2024-05-10,Accessories,Bags,27,119.71
2023-09-02,Formal Wear,Dress Shirts,9,194.23
2023-11-08,Formal Wear,Suits,44,196.89
2024-05-07,Accessories,Hats,74,125.08
2023-07-21,Casual Wear,T-Shirts,97,68.57
2024-06-06,Formal Wear,Trousers,5,61.58
2024-04-10,Casual Wear,Hoodie,31,80.6
2023-09-21,Formal Wear,Suits,68,67.44
2024-04-07,Casual Wear,Shorts,5,157.78
2023-09-19,Casual Wear,Hoodie,65,14.74
2023-11-19,Formal Wear,Trousers,20,46.14
2024-04-30,Formal Wear,Trousers,68,68.97
2024-02-27,Formal Wear,Suits,99,175.64
2024-04-13,Accessories,Hats,27,147.67
2023-08-21,Formal Wear,Dress Shirts,92,174.31
2024-02-16,Casual Wear,T-Shirts,40,187.14
2023-11-14,Accessories,Bags,43,98.71
2023-09-25,Casual Wear,T-Shirts,67,155.57
2023-12-18,Accessories,Scarves,3,119.74
2023-11-03,Formal Wear,Trousers,27,70.97
2023-10-09,Casual Wear,Shorts,36,111.13
2023-07-22,Formal Wear,Trousers,16,61.8
2023-11-16,Casual Wear,Shorts,15,12.9
2023-11-14,Accessories,Bags,27,113.08
2024-06-09,Accessories,Scarves,35,36.9
2024-06-05,Accessories,Scarves,74,56.52
2024-01-19,Casual Wear,Shorts,79,179.53
2023-12-02,Accessories,Hat,7,34.71
2024-05-29,Formal Wear,Trousers,7,30.13
2023-08-28,Casual Wear,T-Shirts,55,84.46
2023-11-20,Accessories,Hat,79,77.57
2023-09-16,Formal Wear,Suits,92,154.1
2023-07-13,Accessories,Bags,97,155.24
2024-04-04,Accessories,Hats,12,164.44
2023-10-20,Accessories,Hat,13,96.56
2024-02-25,Accessories,Hat,61,54.02
2023-07-24,Casual Wear,Jeans,79,59.03
2024-02-03,Formal Wear,Dress Shirts,24,142.93
2024-05-02,Accessories,Scarves,42,96.12
2023-08-11,Casual Wear,T-Shirts,61,31.45
2023-09-05,Formal Wear,Dress Shirts,22,63.63
2023-07-29,Formal Wear,Trousers,74,34.2
2023-11-20,Casual Wear,Hoodie,92,161.38
2024-04-26,Formal Wear,Trousers,84,23.48
2023-10-16,Formal Wear,Trousers,60,86.16
2023-06-26,Formal Wear,Suits,80,56.3
2024-05-13,Casual Wear,Hoodie,50,22.55
2023-10-29,Casual Wear,Hoodie,56,117.77
2023-12-08,Formal Wear,Trousers,89,54.87
2024-02-21,Accessories,Bags,95,186.86
2023-06-28,Accessories,Hat,15,122.51
2024-03-27,Formal Wear,Dress Shirts,72,28.55
2024-06-02,Formal Wear,Suits,40,191.62
2024-03-10,Casual Wear,T-Shirts,88,164.67
2023-10-13,Formal Wear,Dress Shirts,64,132.55
2024-03-15,Casual Wear,T-Shirts,28,165.24
2024-04-17,Accessories,Bags,97,37.88
2024-06-11,Casual Wear,Hoodie,69,65.39
2024-04-04,Accessories,Hat,26,49.08
2023-07-18,Formal Wear,Dress Shirts,73,160.93
2024-04-02,Accessories,Scarves,56,146.38
2024-01-04,Formal Wear,Suits,75,11.54
2023-09-02,Accessories,Hat,17,171.98
2023-10-10,Casual Wear,Shorts,71,193.9
2024-01-11,Casual Wear,Shorts,15,173.64
2024-05-25,Casual Wear,Jeans,56,143.42
2024-02-28,Formal Wear,Trousers,41,145.24
2023-07-09,Formal Wear,Dress Shirts,56,113.57
2023-10-20,Accessories,Hats,61,36.42
2024-04-10,Accessories,Hat,47,169.59
2023-11-04,Casual Wear,Shorts,86,33.85
2023-06-20,Casual Wear,T-Shirts,83,12.98
2024-04-21,Accessories,Hat,85,92.98
2023-09-15,Casual Wear,T-Shirts,18,132.03
2024-04-29,Formal Wear,Dress Shirts,90,124.84
2024-01-03,Formal Wear,Trousers,24,96.33
2023-07-28,Formal Wear,Trousers,58,83.1
2023-06-29,Casual Wear,Jeans,55,124.87
2023-09-24,Accessories,Hat,94,54.98
2024-01-31,Accessories,Scarves,53,186.05
2024-03-28,Accessories,Scarves,5,195.86
2024-03-20,Accessories,Hat,91,80.03
2023-08-14,Accessories,Hat,89,25.21
2023-10-07,Accessories,Scarves,60,108.22
2023-11-09,Accessories,Bags,32,99.77
2023-09-10,Accessories,Bags,88,130.4
2024-01-17,Accessories,Scarves,79,20.03
2024-02-10,Formal Wear,Trousers,100,12.05
2023-08-04,Formal Wear,Trousers,61,119.05
2023-10-19,Formal Wear,Dress Shirts,46,192.51
2023-10-15,Formal Wear,Dress Shirts,22,16.71
2024-05-28,Accessories,Scarves,94,159.15
2023-07-21,Formal Wear,Suits,81,99.9
2024-02-17,Casual Wear,T-Shirts,85,198.17
2023-11-05,Accessories,Bags,37,102.1
2023-10-02,Casual Wear,T-Shirts,36,57.89
2023-08-30,Accessories,Scarves,36,172.99
2023-12-06,Casual Wear,T-Shirts,78,43.18
2024-04-23,Accessories,Hats,85,94.86
2024-02-11,Casual Wear,Shorts,90,54.88
2023-10-16,Casual Wear,T-Shirts,44,196.97
2023-08-10,Casual Wear,Jeans,64,153.02
2024-01-19,Formal Wear,Dress Shirts,31,135.53
2024-02-07,Accessories,Hats,27,119.77
2024-04-08,Formal Wear,Suits,83,60.24
2023-11-18,Casual Wear,T-Shirts,22,98.16
2024-03-25,Formal Wear,Dress Shirts,61,151.77
2023-06-26,Accessories,Hats,49,139.87
2023-08-21,Formal Wear,Dress Shirts,34,37.58
2024-02-06,Formal Wear,Suits,37,186.17
2024-03-15,Formal Wear,Dress Shirts,87,69.98
2023-09-26,Accessories,Bags,13,184.37
2023-07-01,Accessories,Scarves,56,125.99
2024-01-10,Accessories,Scarves,43,61.36
2023-10-23,Casual Wear,Shorts,84,120.99
2024-03-14,Formal Wear,Trousers,96,55.94
2024-04-22,Accessories,Hats,67,74.11
2023-11-22,Accessories,Hats,41,114.05
2023-11-26,Accessories,Bags,9,12.27
2024-01-15,Casual Wear,T-Shirts,88,94.73
2023-12-08,Casual Wear,Shorts,33,46.69
2024-02-17,Casual Wear,T-Shirts,8,188.32
2023-09-03,Accessories,Hats,77,131.24
2024-03-10,Accessories,Bags,12,172.72
2023-11-04,Casual Wear,Hoodie,85,155.13
2023-08-12,Accessories,Hats,15,142.17
2024-05-17,Formal Wear,Dress Shirts,60,135.49
2024-04-18,Casual Wear,Hoodie,36,156.18
2024-02-08,Accessories,Scarves,33,40.77
2024-02-14,Casual Wear,Shorts,100,21.85
2024-03-23,Formal Wear,Dress Shirts,8,59.07
2024-04-16,Formal Wear,Suits,57,23.19
2023-08-27,Casual Wear,Hoodie,23,132.64
2024-04-01,Casual Wear,Jeans,70,156.05
2023-11-05,Casual Wear,T-Shirts,57,145.93
2023-09-23,Casual Wear,T-Shirts,10,23.38
2024-06-06,Accessories,Scarves,100,94.72
2023-08-04,Formal Wear,Suits,84,131.66
2023-08-12,Casual Wear,Hoodie,35,38.81
2024-02-05,Formal Wear,Dress Shirts,74,10.7
2023-09-06,Accessories,Hat,62,92.85
2023-09-01,Accessories,Bags,70,52.91
2023-11-25,Formal Wear,Trousers,100,101.59
2024-03-07,Accessories,Scarves,43,139.55
2023-07-05,Formal Wear,Suits,81,199.43
2024-04-07,Accessories,Bags,47,111.58
2023-11-20,Formal Wear,Suits,59,154.49
2024-01-04,Formal Wear,Trousers,26,43.56
2023-10-04,Casual Wear,Hoodie,85,46.29
2023-06-19,Accessories,Hat,14,129.82
2023-09-11,Formal Wear,Dress Shirts,11,178.19
2024-05-27,Formal Wear,Trousers,25,36.59
2023-07-05,Casual Wear,T-Shirts,93,199.31
2024-04-07,Casual Wear,Hoodie,50,21.97
2024-04-03,Accessories,Scarves,64,111.45
2023-11-16,Formal Wear,Suits,5,74.46
2024-03-30,Formal Wear,Trousers,6,87.05
2024-03-01,Casual Wear,Hoodie,87,175.34
2023-11-24,Accessories,Hats,95,120.08
2024-02-20,Casual Wear,T-Shirts,95,36.9
2024-02-05,Accessories,Bags,61,182.36
2023-08-21,Accessories,Bags,32,143.25
2023-09-29,Casual Wear,T-Shirts,23,130.21
2024-01-24,Formal Wear,Suits,59,126.13
2024-02-27,Accessories,Bags,14,31.69
2024-01-08,Accessories,Hats,9,162.85
2024-03-25,Formal Wear,Dress Shirts,95,138.9
2023-11-30,Formal Wear,Suits,88,119.43
2024-06-01,Casual Wear,Shorts,28,155.2
2024-03-21,Accessories,Hats,43,22.01
2023-12-31,Formal Wear,Suits,97,88.88
2024-01-05,Accessories,Scarves,71,41.35
2023-08-29,Casual Wear,T-Shirts,18,28.99
2024-05-04,Accessories,Hat,100,39.97
2023-11-28,Formal Wear,Suits,1,11.37
2023-11-03,Casual Wear,Shorts,54,141.77
2024-03-27,Formal Wear,Trousers,17,49.17
2024-04-18,Accessories,Scarves,67,95.58
2024-02-10,Casual Wear,Jeans,79,141.42
2024-03-13,Accessories,Hats,92,104.98
2024-04-24,Casual Wear,Shorts,45,89.57
2023-08-03,Accessories,Hats,25,32.33
2023-12-13,Accessories,Bags,80,78.76
2024-01-03,Accessories,Hats,60,156.36
2023-09-26,Accessories,Hats,36,20.08
2024-05-11,Casual Wear,Jeans,88,170.32
2023-11-29,Formal Wear,Dress Shirts,23,40.35
2024-01-29,Casual Wear,T-Shirts,83,79.2
2024-03-12,Casual Wear,Hoodie,33,73.52
2024-03-12,Formal Wear,Suits,14,150.68
2024-06-13,Accessories,Hats,21,159.24
2023-09-16,Formal Wear,Trousers,15,23.46
2023-11-19,Casual Wear,Hoodie,76,120.15
2023-12-24,Formal Wear,Suits,96,138.6
2023-12-08,Formal Wear,Suits,100,30.93
2023-08-05,Casual Wear,T-Shirts,31,150.17
2024-05-08,Casual Wear,Hoodie,29,23.97
2023-09-04,Accessories,Hat,7,179.19
2023-06-26,Casual Wear,Jeans,79,96.45
2023-06-26,Formal Wear,Dress Shirts,18,96.97
2024-01-11,Casual Wear,Shorts,35,48.42
2023-08-30,Casual Wear,T-Shirts,89,118.05
2023-09-24,Formal Wear,Suits,15,171.81
2023-07-11,Formal Wear,Dress Shirts,22,154.46
2023-08-10,Casual Wear,Shorts,78,39.79
2023-07-15,Accessories,Hats,74,194.33
2023-10-09,Casual Wear,T-Shirts,53,172.83
2023-10-03,Formal Wear,Suits,76,99.96
2024-04-04,Formal Wear,Dress Shirts,2,148.7
2023-12-30,Accessories,Hats,32,72.19
2024-01-05,Accessories,Hats,76,189.79
2023-11-18,Accessories,Bags,54,196.23
2024-01-04,Casual Wear,Hoodie,94,156.04
2024-01-31,Casual Wear,Hoodie,68,84.92
2023-12-06,Accessories,Bags,58,104.1
2023-11-23,Casual Wear,T-Shirts,89,149.04
2024-02-20,Casual Wear,Jeans,46,66.2
2023-07-15,Accessories,Bags,3,101.16
2024-01-18,Formal Wear,Suits,91,97.26
2024-04-14,Accessories,Bags,59,98.11
2024-05-15,Casual Wear,Hoodie,24,160.07
2024-03-04,Formal Wear,Trousers,60,143.74
2023-08-05,Casual Wear,T-Shirts,50,179.75
2023-12-20,Formal Wear,Trousers,5,66.35
